ID,2365455182,,,,
TEAM_TAG_RADIANT, Liquid,,,,
TEAM_TAG_DIRE, Newbee,,,,
WINNER, radiant,,,,
PLAYER,0,Liquid`KuroKy,7.65612E+16,npc_dota_hero_riki,2
PLAYER,1,Liquid`FATA-,7.65612E+16,npc_dota_hero_zuus,2
PLAYER,2,Liquid`JerAx,7.65612E+16,npc_dota_hero_rubick,2
PLAYER,3,Liquid`MinD_ContRoL,7.65612E+16,npc_dota_hero_beastmaster,2
PLAYER,4,Liquid`MATUMBAMAN,7.65612E+16,npc_dota_hero_lycan,2
PLAYER,5,kaka,7.65612E+16,npc_dota_hero_phoenix,3
PLAYER,6,Mu,7.65612E+16,npc_dota_hero_dragon_knight,3
PLAYER,7,Hao,7.65612E+16,npc_dota_hero_phantom_lancer,3
PLAYER,8,ChuaN,7.65612E+16,npc_dota_hero_lion,3
PLAYER,9,kpii,7.65612E+16,npc_dota_hero_faceless_void,3
